index,in_primary,dropped_in_alternate_for,correlation,dropped_in_primary_for
BI,True,rBA,0.6433782013025737,
ACI,True,ACTspMean,0.6774250321782819,
ACTtCount,True,ACTtFraction,0.999881448627472,
EVNspMean,True,EVNtMean,0.6520042467346314,
EAS,True,ECV,0.7118227327368993,
BioEnergy,True,MEANf,0.6936383192593232,
ADI,True,AEI,-0.9444610872762792,
EPS_KURT,True,EPS_SKEW,0.8654072255809648,
nROI,False,,0.7708187309064333,aROI
ZCR,False,,0.7289685619276475,ACTtMean
EPS_SKEW,False,,0.8654072255809648,EPS_KURT
EVNtCount,False,,0.7090412956028369,ACTtCount
EVNtMean,False,,0.6520042467346314,EVNspMean
ECV,False,,0.9169090124017599,ECU
rBA,False,,0.9999999999999996,NDSI
